EventName,Team,Compound,LapCount,TotalLaps,LapProportion
Austrian Grand Prix,RB,MEDIUM,31,71,0.43661971830985913
Austrian Grand Prix,Red Bull Racing,HARD,58,71,0.8169014084507042
Austrian Grand Prix,Red Bull Racing,MEDIUM,77,71,1.0845070422535212
Austrian Grand Prix,Red Bull Racing,SOFT,7,71,0.09859154929577464
Austrian Grand Prix,Williams,HARD,87,71,1.2253521126760563
Austrian Grand Prix,Williams,MEDIUM,52,71,0.7323943661971831
Bahrain Grand Prix,Alpine,HARD,77,57,1.3508771929824561
Bahrain Grand Prix,Alpine,SOFT,35,57,0.6140350877192983
Bahrain Grand Prix,Aston Martin,HARD,90,57,1.5789473684210527
Bahrain Grand Prix,Aston Martin,SOFT,24,57,0.42105263157894735
Bahrain Grand Prix,Ferrari,HARD,89,57,1.5614035087719298
Bahrain Grand Prix,Ferrari,SOFT,25,57,0.43859649122807015
Bahrain Grand Prix,Haas F1 Team,HARD,85,57,1.4912280701754386
Bahrain Grand Prix,Haas F1 Team,SOFT,27,57,0.47368421052631576
Bahrain Grand Prix,Kick Sauber,HARD,91,57,1.5964912280701755
Bahrain Grand Prix,Kick Sauber,SOFT,21,57,0.3684210526315789
Bahrain Grand Prix,McLaren,HARD,89,57,1.5614035087719298
Bahrain Grand Prix,McLaren,SOFT,25,57,0.43859649122807015
Bahrain Grand Prix,Mercedes,HARD,91,57,1.5964912280701755
Bahrain Grand Prix,Mercedes,SOFT,23,57,0.40350877192982454
Bahrain Grand Prix,RB,HARD,64,57,1.1228070175438596
Bahrain Grand Prix,RB,SOFT,48,57,0.8421052631578947
Bahrain Grand Prix,Red Bull Racing,HARD,44,57,0.7719298245614035
Bahrain Grand Prix,Red Bull Racing,SOFT,70,57,1.2280701754385965
Bahrain Grand Prix,Williams,HARD,71,57,1.2456140350877194
Bahrain Grand Prix,Williams,SOFT,40,57,0.7017543859649122
Belgian Grand Prix,Alpine,HARD,67,44,1.5227272727272727
Belgian Grand Prix,Alpine,MEDIUM,21,44,0.4772727272727273
Belgian Grand Prix,Aston Martin,HARD,63,44,1.4318181818181819
Belgian Grand Prix,Aston Martin,MEDIUM,25,44,0.5681818181818182
Belgian Grand Prix,Ferrari,HARD,68,44,1.5454545454545454
Belgian Grand Prix,Ferrari,MEDIUM,20,44,0.45454545454545453
Belgian Grand Prix,Haas F1 Team,HARD,40,44,0.9090909090909091
Belgian Grand Prix,Haas F1 Team,MEDIUM,48,44,1.0909090909090908
Belgian Grand Prix,Kick Sauber,HARD,29,44,0.6590909090909091
Belgian Grand Prix,Kick Sauber,MEDIUM,20,44,0.45454545454545453
Belgian Grand Prix,McLaren,HARD,62,44,1.4090909090909092
Belgian Grand Prix,McLaren,MEDIUM,26,44,0.5909090909090909
Belgian Grand Prix,Mercedes,HARD,67,44,1.5227272727272727
Belgian Grand Prix,Mercedes,MEDIUM,21,44,0.4772727272727273
Belgian Grand Prix,RB,HARD,52,44,1.1818181818181819
Belgian Grand Prix,RB,MEDIUM,28,44,0.6363636363636364
Belgian Grand Prix,RB,SOFT,8,44,0.18181818181818182
Belgian Grand Prix,Red Bull Racing,HARD,39,44,0.8863636363636364
Belgian Grand Prix,Red Bull Racing,MEDIUM,47,44,1.0681818181818181
Belgian Grand Prix,Red Bull Racing,SOFT,2,44,0.045454545454545456
Belgian Grand Prix,Williams,HARD,41,44,0.9318181818181818
Belgian Grand Prix,Williams,MEDIUM,47,44,1.0681818181818181
British Grand Prix,Alpine,INTERMEDIATE,14,52,0.2692307692307692
British Grand Prix,Alpine,MEDIUM,18,52,0.34615384615384615
British Grand Prix,Alpine,SOFT,19,52,0.36538461538461536
